id,name,email,age,city,salary
1,Alice Johnson,alice@email.com,25,New York,50000
2,Bob Smith,bob@email.com,30,London,60000
3,Charlie Brown,charlie@email.com,22,Paris,45000
4,Charlie Brownn,charlie@email.com,22,Paris,45000
5,Diana Prince,diana@email.com,-5,Tokyo,70000
6,Eve Adams,NOT_AN_EMAIL,28,Berlin,55000
7,Frank Castle,frank@email.com,35,Sydney,80000
8,Frank Castlle,frank@email.com,35,Sydney,80000
9,Grace Hopper,grace@email.com,999,Toronto,90000
10,,harry@email.com,27,Mumbai,65000
11,Henry Ford,,31,Lagos,72000
12,Henry Forde,henry@email.com,31,Lagos,72000
13,Isla Fisher,isla@email.com,29,Dublin,58000
14,Jack Sparrow,jack@email.com,40,Caribbean,95000
15,Isla Fisher,isla@email.com,29,Dublin,58000
